X,Y,V
70,14,1.0
71,14,0.0
72,14,0.0
73,14,3.0
74,14,3.0
75,14,3.0
76,14,2.0
77,14,2.0
78,14,3.0
79,14,3.0
80,14,4.0
81,14,3.0
82,14,2.0
83,14,4.0
84,14,4.0
85,14,3.0
86,14,3.0
87,14,4.0
88,14,3.0
89,14,3.0
90,14,3.0
91,14,4.0
92,14,4.0
93,14,3.0
94,14,3.0
95,14,1.0
96,14,1.0
97,14,1.0
98,14,1.0
99,14,0.0
100,14,0.0
1,15,1.0
2,15,0.0
3,15,0.0
4,15,0.0
5,15,0.0
6,15,2.0
7,15,2.0
8,15,1.0
9,15,1.0
10,15,0.0
11,15,1.0
12,15,1.0
13,15,1.0
14,15,2.0
15,15,3.0
16,15,2.0
17,15,2.0
18,15,3.0
19,15,2.0
20,15,3.0
21,15,2.0
22,15,2.0
23,15,0.0
24,15,4.0
25,15,4.0
26,15,4.0
27,15,1.0
28,15,4.0
29,15,4.0
30,15,4.0
31,15,4.0
32,15,4.0
33,15,4.0
34,15,4.0
35,15,4.0
36,15,4.0
37,15,3.0
38,15,0.0
39,15,1.0
40,15,1.0
41,15,2.0
42,15,2.0
43,15,2.0
44,15,1.0
45,15,2.0
46,15,2.0
47,15,2.0
48,15,1.0
49,15,1.0
50,15,1.0
51,15,1.0
52,15,1.0
53,15,2.0
54,15,1.0
55,15,2.0
56,15,2.0
57,15,1.0
58,15,1.0
59,15,0.0
60,15,0.0
61,15,0.0
62,15,0.0
63,15,0.0
64,15,0.0
65,15,0.0
66,15,0.0
67,15,0.0
68,15,0.0
69,15,1.0
70,15,1.0
71,15,0.0
72,15,0.0
73,15,3.0
74,15,3.0
75,15,3.0
76,15,3.0
77,15,2.0
78,15,3.0
79,15,3.0
80,15,3.0
81,15,2.0
82,15,2.0
83,15,3.0
84,15,3.0
85,15,3.0
86,15,4.0
87,15,3.0
88,15,3.0
89,15,3.0
90,15,3.0
91,15,4.0
92,15,4.0
93,15,3.0
94,15,3.0
95,15,3.0
96,15,1.0
97,15,0.0
98,15,0.0
99,15,0.0
100,15,0.0
1,16,1.0
2,16,0.0
3,16,1.0
4,16,0.0
5,16,2.0
6,16,3.0
7,16,2.0
8,16,1.0
9,16,0.0
10,16,0.0
11,16,0.0
12,16,1.0
13,16,1.0
14,16,1.0
15,16,3.0
16,16,2.0
17,16,3.0
18,16,3.0
19,16,2.0
20,16,3.0
21,16,2.0
22,16,0.0
23,16,4.0
24,16,4.0
25,16,4.0
26,16,4.0
27,16,4.0
28,16,2.0
29,16,4.0
30,16,4.0
31,16,4.0
32,16,4.0
33,16,4.0
34,16,4.0
35,16,4.0
36,16,4.0
37,16,4.0
38,16,3.0
39,16,1.0
40,16,1.0
41,16,3.0
42,16,2.0
43,16,1.0
44,16,1.0
45,16,3.0
46,16,3.0
47,16,3.0
48,16,2.0
49,16,2.0
50,16,1.0
51,16,0.0
52,16,0.0
53,16,2.0
54,16,1.0
55,16,2.0
56,16,2.0
57,16,2.0
58,16,2.0
59,16,1.0
60,16,1.0
61,16,1.0
62,16,0.0
63,16,0.0
64,16,0.0
65,16,0.0
66,16,1.0
67,16,0.0
68,16,0.0
69,16,0.0
70,16,0.0
71,16,2.0
72,16,3.0
73,16,3.0
74,16,3.0
75,16,2.0
76,16,3.0
77,16,2.0
78,16,2.0
79,16,2.0
80,16,2.0
81,16,2.0
82,16,3.0
83,16,3.0
84,16,3.0
85,16,3.0
86,16,4.0
87,16,3.0
88,16,3.0
89,16,3.0
90,16,3.0
91,16,4.0
92,16,4.0
93,16,3.0
94,16,3.0
95,16,2.0
96,16,0.0
97,16,0.0
98,16,0.0
99,16,0.0
100,16,0.0
1,17,0.0
2,17,2.0
3,17,0.0
4,17,1.0
5,17,1.0
6,17,2.0
7,17,1.0
8,17,0.0
9,17,0.0
10,17,1.0
11,17,1.0
12,17,1.0
13,17,2.0
14,17,0.0
15,17,1.0
16,17,2.0
17,17,3.0
18,17,2.0
19,17,3.0
20,17,2.0
21,17,1.0
22,17,4.0
23,17,4.0
24,17,4.0
25,17,4.0
26,17,4.0
27,17,4.0
28,17,3.0
29,17,3.0
30,17,4.0
31,17,4.0
32,17,4.0
33,17,4.0
34,17,4.0
35,17,4.0
36,17,4.0
37,17,4.0
38,17,4.0
39,17,4.0
40,17,1.0
41,17,2.0
42,17,3.0
43,17,2.0
44,17,2.0
45,17,3.0
46,17,3.0
47,17,3.0
48,17,4.0
49,17,3.0
50,17,3.0
51,17,2.0
52,17,2.0
53,17,2.0
54,17,2.0
55,17,2.0
56,17,1.0
57,17,2.0
58,17,3.0
59,17,1.0
60,17,1.0
61,17,0.0
62,17,0.0
63,17,1.0
64,17,1.0
65,17,2.0
66,17,1.0
67,17,0.0
68,17,0.0
69,17,0.0
70,17,2.0
71,17,3.0
72,17,2.0
73,17,3.0
74,17,3.0
75,17,3.0
76,17,3.0
77,17,3.0
78,17,2.0
79,17,3.0
80,17,3.0
81,17,3.0
82,17,3.0
83,17,3.0
84,17,3.0
85,17,3.0
86,17,3.0
87,17,3.0
88,17,3.0
89,17,3.0
90,17,3.0
91,17,3.0
92,17,3.0
93,17,3.0
94,17,2.0
95,17,1.0
96,17,1.0
97,17,1.0
98,17,2.0
99,17,0.0
100,17,2.0
1,18,1.0
2,18,0.0
3,18,1.0
4,18,1.0
5,18,2.0
6,18,2.0
7,18,1.0
8,18,1.0
9,18,0.0
10,18,1.0
11,18,1.0
12,18,1.0
13,18,0.0
14,18,0.0
15,18,0.0
16,18,1.0
17,18,3.0
18,18,2.0
19,18,1.0
20,18,3.0
21,18,4.0
22,18,4.0
23,18,4.0
24,18,4.0
25,18,4.0
26,18,4.0
27,18,3.0
28,18,2.0
29,18,1.0
30,18,4.0
31,18,4.0
32,18,4.0
33,18,4.0
34,18,4.0
35,18,4.0
36,18,4.0
37,18,4.0
38,18,4.0
39,18,4.0
40,18,4.0
41,18,4.0
42,18,1.0
43,18,1.0
44,18,2.0
45,18,3.0
